comment_text,multi_labels
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I live it face with tears of joy face with tears of joy"",""dst"":""我生活在喜悦的泪水中，喜悦的泪水中""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Compact and smart—perfect for my daily notes!"",""dst"":""小巧而智能—非常适合我的日常笔记！""}}","(1.0, 1.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Moye Moye face with tears of joy red heart red heart red heart face with tears of joy face with tears of joy face with tears of joy face with tears of joy"",""dst"":""莫邪莫邪喜极而泣的脸红心红心红心喜极而泣的脸喜极而泣的脸""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I used it during a business trip to Japan, and it saved me so much time! smiling face with hearts"",""dst"":""我在日本出差期间使用了它，它为我节省了很多时间！用心微笑的脸""}}","(1.0, 1.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Wtf carrie"",""dst"":""卡丽，什么东西""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""pt"",""to"":""en"",""trans_result"":{""src"":""OMG"",""dst"":""OMG""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""You look like rose in first red heart"",""dst"":""你看起来像第一颗红心里的玫瑰。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I love how compact the Xfaiyx Smart Translator is! Perfect for minimalist living in a van. Definitely worth the investment."",""dst"":""我喜欢XFAIYX智能翻译器的小巧！非常适合住在货车里的极简主义者。绝对值得投资。""}}","(1.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""cool"",""dst"":""凉爽""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""How many languages does the Xfaiyx Smart Translator support? Is it good for less common languages?"",""dst"":""XFAIYX智能翻译器支持多少种语言？它对不太常用的语言有好处吗？""}}","(4.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Looks like a must-have for productivity"",""dst"":""看起来像是生产力的必备品。""}}","(1.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""HAHAHAAHAHA Carrie even called Apnavi overr red heart red heart"",""dst"":""哈哈哈哈，凯莉甚至称阿普纳维为红心""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I really think Logan is on a personal vendetta here and is not listening to his lawyers."",""dst"":""我真的认为洛根是出于个人恩怨，不听他律师的话。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""es"",""to"":""en"",""trans_result"":{""src"":""¿Este traductor funciona sin conexión? Me interesa para viajes largos."",""dst"":""Does this translator work offline? I'm interested in long trips.""}}","(4.0, 1.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""smiling face with hearts smiling face with hearts smiling face with hearts"",""dst"":""用心微笑的脸用心微笑的脸用心微笑的脸""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes"",""dst"":""微笑的眼睛微笑的脸微笑的眼睛微笑的脸微笑的眼睛""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Google translate crying face"",""dst"":""谷歌翻译哭脸""}}","(2.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""hundred points hundred points thumbs up"",""dst"":""一百分一百分赞！""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""iPhone already does this Where to buy?"",""dst"":""iPhone已经做到了这一点，在哪里购买？""}}","(3.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Carrie is the queen of scary pranks hahaha face with tears of joy face with tears of joy face with tears of joy face with tears of joy"",""dst"":""凯莉是恐怖恶作剧女王哈哈哈喜极而泣的脸喜极而泣的脸喜极而泣的脸""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Google translate app is good instead of your device ...sorry red heart red heart red heart babe face with tears of joy face with tears of joy face with tears of joy face with tears of joy"",""dst"":""谷歌翻译应用程序很好，而不是你的设备..对不起，红心红心红心宝贝喜极而泣的脸喜极而泣的脸喜极而泣的脸""}}","(2.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Imagine being an annoying girl face with tears of joy face with tears of joy face with tears of joy face with tears of joy"",""dst"":""想象自己是一个令人讨厌的女孩，脸上挂着喜悦的泪水，脸上挂着喜悦的泪水，脸上挂着喜悦的泪水""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Does this support multiple languages for the voice-to-text feature? That would be super helpful."",""dst"":""这是否支持语音到文本功能的多种语言？那会非常有帮助。""}}","(4.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""no wonder girls why annoying"",""dst"":""难怪女生为什么讨厌？""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""es"",""to"":""en"",""trans_result"":{""src"":""La calidad de audio no es buena, deberían mejorar los altavoces."",""dst"":""The audio quality is not good, the speakers should improve.""}}","(2.0, 0.0, 0.0, 1.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""face with tears of joy face with tears of joy face with tears of joy"",""dst"":""喜极而泣的脸喜极而泣的脸""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""um your phone can do that face with raised eyebrow"",""dst"":""嗯，你的手机可以做那张扬起眉毛的脸""}}","(2.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""how can I purchase it?"",""dst"":""如何购买？""}}","(1.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Nobody is talking about Apnavi's walk? Like she walked like a model exploding head"",""dst"":""没有人在谈论阿普纳维的散步。她走起路来像个爆炸头模特。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""This guy needs to be in prison."",""dst"":""这家伙应该进监狱。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Das war ein Produkt face with tears of joy Aber ich frage mich, ob es wirklich besser ist als Google Translate?"",""dst"":""Das War ein Produkt脸上洋溢着喜悦的泪水Aber ich Frage Mich，Ob es Wirklich Besser Ist als谷歌翻译？""}}","(4.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""The likelihood of Paul prevailing in this lawsuit is besides the point. Coffeezilla will have to spend tens or hundreds of thousands of dollars to defend the suit—almost none of which he'll be able to recoup from Paul because the venue in which the case was filed (Texas federal court) doesn't recognize any anti-SLAPP statute. As is so often the case with lawsuits such as these, the process is the punishment."",""dst"":""保罗在这场诉讼中获胜的可能性并不重要。Coffeezilla将不得不花费数万或数十万美元来为这起诉讼进行辩护——他几乎无法从保罗那里获得任何补偿，因为提起诉讼的地点（德克萨斯州联邦法院）不承认任何反SLAPP法规。正如这类诉讼中经常出现的情况一样，过程就是惩罚。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Carrie s Doesn't need that translator,we are here for her loudly crying face pinched fingers medium-light skin tone"",""dst"":""嘉莉不需要那个翻译，我们在这里是为了她大声哭泣的脸，捏着手指，中等肤色。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Carrie is a girl's girl nail polish light skin tone sparkles red heart"",""dst"":""嘉莉是一个女孩的女孩指甲油轻肤色闪闪发光的红心。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""AWOOP, JUMPSCARE!!"",""dst"":""啊，吓一跳！""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I buy so a phone Or just a phone AiPod how much"",""dst"":""我买了一部手机或者只是一部手机，多少钱？""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""face with tears of joy"",""dst"":""喜极而泣""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Does it sync easily with cloud storage?"",""dst"":""它是否可以轻松地与云存储同步？""}}","(4.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""You two are so funny face with tears of joy Love yall! two hearts"",""dst"":""你们两个是如此有趣的脸，充满喜悦的泪水，爱你们！两颗心""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Omg it made me laugh so much how she said carrie is there face with tears of joy face with tears of joy face with tears of joy"",""dst"":""天哪，她说凯莉在那里，脸上挂着喜悦的泪水，脸上挂着喜悦的泪水，这让我笑得很开心。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I wouldn’t recommend the Xfaiyx Smart Translator for long-term travel. It feels flimsy and doesn’t seem built to last."",""dst"":""我不推荐长期旅行使用XFAIYX智能翻译机。它感觉很脆弱，似乎不能持久。""}}","(2.0, 1.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Nick got slapped face with tears of joy"",""dst"":""尼克喜极而泣，被打了一巴掌。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I tried using the Xfaiyx Smart Translator for translating job descriptions, but it failed to capture the nuances of professional language. Not impressed."",""dst"":""我尝试使用XFAIYX智能翻译器来翻译工作描述，但它无法捕捉到专业语言的细微差别。印象不深。""}}","(2.0, 1.0, 0.0, 0.0)"
"{""from"":""de"",""to"":""en"",""trans_result"":{""src"":""klingt schon gut aber 370 ist auch ein stolzer Preis.liebenn Gruß"",""dst"":""Sounds good but 370 is also a proud price.""}}","(3.0, 0.0, 0.0, 0.0)"
"{""from"":""de"",""to"":""en"",""trans_result"":{""src"":""Ich habe den Xfaiyx ausprobiert und die Transkription ist nicht so genau, wie ich gehofft hatte. Für den Preis hätte ich mehr erwartet confused face"",""dst"":""I tried the Xfaiyx and the transcription is not as accurate as I had hoped. For the price I would have expected more confused face""}}","(2.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""The suit isn't designed to win in court; it's designed to give Logan's fans a reason to keep believing in him and thus buy his next big thing. It's also designed to crush Coffeezilla financially and emotionally with the burden of defending it in the hopes of extracting a nuisance settlement that will shut up Coffeezilla and let Logan claim vindication. Given that this lawsuit was delivered with a warning to not publish imminent future content (rather than at the time of the alleged harm) and that it seems that most of the claims are barely colorable at best, I'd appreciate an explainer as to what the bar is for Rule 11(b) violations, even if it wasn't met here and wouldn't be likely to result in sanctions."",""dst"":""这起诉讼并不是为了在法庭上获胜，而是为了给洛根的粉丝一个继续相信他的理由，从而购买他的下一件大事。这也是为了在经济上和情感上打击Coffeezilla，并为其辩护，希望能达成一项令人讨厌的解决方案，让Coffeezilla闭嘴，让洛根要求平反。鉴于这起诉讼是在警告不要发布即将到来的未来内容（而不是在所谓的伤害发生时）的情况下提出的，而且似乎大多数指控充其量几乎没有色彩，我希望有人能解释违反规则11（B）的障碍是什么，即使它在这里没有得到满足，也不太可能导致制裁。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""smiling face with hearts smiling face with hearts smiling face with hearts"",""dst"":""用心微笑的脸用心微笑的脸用心微笑的脸""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""My Hindi speaking friends doesn't know that I know Hindi and they were talking about me in a nice way smiling face with smiling eyes"",""dst"":""我的印地语朋友不知道我懂印地语，他们用一种友好的方式谈论我，微笑的脸，微笑的眼睛。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Where did you get that from"",""dst"":""你从哪弄来的？""}}","(4.0, 0.0, 1.0, 0.0)"
"{""from"":""de"",""to"":""en"",""trans_result"":{""src"":""Poland „Zpierdalai” face with tears of joy Ich frage mich, ob der Xfaiyx auch solche Slang-Ausdrücke korrekt übersetzen kann?"",""dst"":""Poland “ Zpierdalai face with tears of joy I wonder if the Xfaiyx can translate such slang expressions correctly?""}}","(4.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I used the Xfaiyx Smart Translator while traveling through Europe, and it was a lifesaver! However, I wish the battery lasted longer for full-day use."",""dst"":""我在欧洲旅行时使用了XFAIYX智能翻译器，它是我的救星！然而，我希望电池能持续更长时间，以便全天使用。""}}","(3.0, 1.0, 0.0, 1.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Part 2 two pls I want to know what there punishment was face with tears of joy"",""dst"":""第二部分第二部分我想知道什么是惩罚，面对喜悦的泪水""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I will never understand why people give this ...person any of their attention (outside of topics like this video) or money. It's insane."",""dst"":""我永远不会明白为什么人们给这个。他们的注意力（除了像这个视频这样的话题）或金钱。这太疯狂了。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Coffee just dropped a video today in response finally."",""dst"":""咖啡今天终于发布了一段视频作为回应。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""face with tears of joy face with tears of joy face with tears of joy"",""dst"":""喜极而泣的脸喜极而泣的脸""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""How to send my voice red heart"",""dst"":""如何发送我的声音红心""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""fr"",""to"":""en"",""trans_result"":{""src"":""Pensé que era un Windows Phone pensive face pensive face"",""dst"":""Thought Will Be A Pensive Face Pensive Face Windows Phone""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Thats the reason why they r besties also carrie i love your accent when you talk english smiling face with heart-eyes"",""dst"":""这就是为什么他们也是好朋友的原因，凯莉，我喜欢你说英语时的口音，心眼儿的笑脸。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Omg, now Canadian’s Government accused Logan’s other company as a fraud face with tears of joy"",""dst"":""天哪，现在加拿大政府指责洛根的另一家公司是骗子，脸上挂着喜悦的泪水。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""@NerdsHeaven.de smiling face with sunglasses"",""dst"":""@nerdsheaven.de戴着墨镜的笑脸""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I tried it for translating French and it worked fine, but struggled with idioms."",""dst"":""我试着用它来翻译法语，效果很好，但在习语方面有困难。""}}","(3.0, 0.0, 0.0, 0.0)"
"{""from"":""de"",""to"":""en"",""trans_result"":{""src"":""Warum sollte man sowas kaufen? Ein Handy mit Übersetzer-Apps reicht doch völlig aus!"",""dst"":""Why would you buy that? A mobile phone with translator apps is enough!""}}","(2.0, 0.0, 1.0, 0.0)"
"{""from"":""de"",""to"":""en"",""trans_result"":{""src"":""Ich habe den Xfaiyx Übersetzer ausprobiert, und er ist wirklich nützlich für schnelle Übersetzungen. Allerdings wäre eine robustere Bauweise wünschenswert."",""dst"":""I've tried the Xfaiyx translator, and it's really useful for fast translations. However, a more robust design would be desirable.""}}","(3.0, 0.0, 0.0, 1.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Does this translator come with a warranty? I’m worried about durability since I’ll be traveling a lot for job interviews."",""dst"":""这个翻译机有保修吗？我担心耐用性，因为我要经常出差去面试。""}}","(4.0, 1.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""face with tears of joy face with tears of joy face with tears of joy"",""dst"":""喜极而泣的脸喜极而泣的脸""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""The cat got me laughing by dying face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy"",""dst"":""这只猫让我笑死了，笑出了眼泪""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""de"",""to"":""en"",""trans_result"":{""src"":""für alle Intelligenz Allergiker: (also ich inklusive) Link im Profil"",""dst"":""For all intelligence allergy sufferers: (including me) Link in profile""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Logan Paul is essentially one of the worst human beings on Earth, When I hear he is apart of a scam I am shocked because I thought everything he did was awful and if it involves money illegal in some way."",""dst"":""洛根·保罗本质上是地球上最坏的人之一，当我听说他是一个骗局的一部分时，我很震惊，因为我认为他所做的一切都是可怕的，如果涉及金钱，在某种程度上是非法的。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""You guys are made a video 5 month ago you guys are married in 2024 grinning face"",""dst"":""你们5个月前拍了一段视频，你们在2024年结婚，笑容满面。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""your Hight and your face appearance is matching.... how old are you?"",""dst"":""你的身高和你的长相很相配。你多大了？""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""i am short of words flushed face"",""dst"":""我缺少语言，脸涨得通红。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Just wouldn't be the same without mechanical failures!"",""dst"":""没有机械故障就不一样了！""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Parasites living off of LP: \""Hell yeah bro, sue that dude!! You're the man, Logan!\"" face blowing a kiss face blowing a kiss face blowing a kiss"",""dst"":""靠LP生活的寄生虫：是啊，兄弟，起诉那个家伙！你就是那个男人，洛根！脸飞吻脸飞吻脸飞吻""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""ko"",""to"":""en"",""trans_result"":{""src"":""이 통역기의 음성 인식 기능이 개선된다면 정말 완벽한 제품이 될 것 같아요. 현재는 가끔 인식 오류가 있어서 불편합니다."",""dst"":""If the voice recognition function of this translator is improved, it will be a perfect product. Currently, it is inconvenient because there is a recognition error sometimes.""}}","(3.0, 0.0, 0.0, 1.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""What's a dinkdoink?"",""dst"":""丁克是什么？""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""OMG u got them so good carrie star-struck star-struck star-struck"",""dst"":""天哪，你把他们弄得太好了，凯莉，追星，追星，追星""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""face with tears of joy face with tears of joy face with tears of joy rolling on the floor laughing"",""dst"":""笑着流泪的脸笑着流泪的脸笑着在地板上打滚""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Wow you beaming face with smiling eyes"",""dst"":""哇，你的脸和微笑的眼睛。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""my phone already does that face with tears of joy"",""dst"":""我的手机已经做了那张喜极而泣的脸。""}}","(2.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""prob a Chinese product. show us the noise cancelling in a club"",""dst"":""可能是中国产品。给我们看看俱乐部里的噪音消除。""}}","(4.0, 1.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""face with tears of joy"",""dst"":""喜极而泣""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""The audio quality is surprisingly clear, even in crowded places. Perfect for interviews or lectures!"",""dst"":""即使在拥挤的地方，音频质量也非常清晰。非常适合面试或讲座！""}}","(1.0, 1.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Nick and Carrie are sooooooooooooooooooooooooooooo ooooooooooooooooooooooooooooo romantic red heart red heart red heart red heart sparkling heart raising hands"",""dst"":""尼克和凯莉是如此的浪漫，红心，红心，红心，闪闪发光的心，举起手。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Enjoying this series! What a bummer being stuck in the cold. I have been watching on and off for years, love the quality of the content. Maybe time to rethink the vintage Komi and get something more reliable?"",""dst"":""享受这个系列！被困在寒冷的天气里真是太糟糕了。多年来，我一直在断断续续地观看，喜欢内容的质量。也许是时候重新考虑一下老式的科米，买一些更可靠的东西了？""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Can you transfer recordings wirelessly to your phone or laptop?"",""dst"":""你能把录音无线传输到你的手机或笔记本电脑吗？""}}","(4.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Why is this better than using a Pixel phone with translation apps?"",""dst"":""为什么这比使用带有翻译应用程序的Pixel手机更好？""}}","(2.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""A smartphone app could already do this, without the need for an additional piece of pointless hardware"",""dst"":""智能手机应用程序已经可以做到这一点，而不需要额外的毫无意义的硬件。""}}","(2.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""why are we pretending logan didnt scam intentionally? it was his project. thats that on that. if he felt bad he woulda paid everyone back but he clearly didn't. im expected to believe that everyone in the project was scamming... except him? yeah fuckin right"",""dst"":""为什么我们要假装洛根不是故意诈骗？这是他的项目。就在那上面。如果他感觉不好，他会回报所有人，但他显然没有。我应该相信项目中的每个人都在诈骗……除了他？是啊，他妈的权利""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""You are such a baby carrie"",""dst"":""你真是个宝贝，凯莉。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Nick bro you should learn sign language grinning face with sweat"",""dst"":""尼克兄弟，你应该学会手语，笑得满头大汗""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""fr"",""to"":""en"",""trans_result"":{""src"":""Louis litt ahhh dictaphone"",""dst"":""Louis litt ahhh dictaphone""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""This looks super useful for interviews, especially with the noise reduction feature! thumbs up"",""dst"":""这看起来对采访非常有用，尤其是降噪功能！竖起大拇指""}}","(1.0, 1.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Can u tell me what part of that is AI?"",""dst"":""你能告诉我人工智能是哪一部分吗？""}}","(4.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""how sweet is that couple sparkles red heart tired face"",""dst"":""那对夫妇是多么甜蜜啊，闪耀着红心疲惫的脸。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Carrie is a true friend grinning squinting face rolling on the floor laughing sparkling heart"",""dst"":""嘉莉是一个真正的朋友，咧着嘴笑，眯着眼睛，在地板上打滚，笑得心花怒放。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""flexed biceps"",""dst"":""弯曲的二头肌""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""\""he's a fighter at heart\"" is a strange way of saying zooted out of his gourd on so much test and tren that Barry Bonds looks downright average."",""dst"":""“他在内心深处是一个斗士”是一种奇怪的说法，在如此多的测试和趋势中，他从他的葫芦里出来，巴里·邦兹看起来很普通。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""bro face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy"",""dst"":""兄弟喜极而泣的脸""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""How many languages does this support now? world map"",""dst"":""它现在支持多少种语言？世界地图""}}","(4.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I understand hindi but I am from Pakistan but hindi and urdu are very simileir to each other"",""dst"":""我懂印地语，但我来自巴基斯坦，但印地语和乌尔都语非常相似。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""How"",""dst"":""怎么""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Logan is a criminal. Not hard to see."",""dst"":""洛根是个罪犯。不难看出。""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""de"",""to"":""en"",""trans_result"":{""src"":""Ich habe den Xfaiyx Übersetzer während meines Urlaubs in Asien verwendet, und er war eine große Hilfe, da Deutsch dort kaum gesprochen wird."",""dst"":""I used the Xfaiyx translator during my vacation in Asia, and it was a great help as German is hardly spoken there.""}}","(1.0, 1.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""hundred points hundred points hundred points"",""dst"":""一百分一百分一百分""}}","(5.0, 0.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""Does this recorder support offline transcription? thinking face"",""dst"":""这个录音机支持离线转录吗？思维脸""}}","(4.0, 0.0, 1.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I bought this translator hoping it would help me with job interviews in Germany, but the voice recognition is not accurate enough. Disappointed."",""dst"":""我买了这个翻译器，希望它能帮助我在德国的工作面试，但语音识别不够准确。很失望。""}}","(2.0, 1.0, 0.0, 0.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""I used the Xfaiyx Smart Recorder during a court hearing prep, and it was very reliable. However, I wish it had more storage capacity."",""dst"":""我在一次庭审准备中使用了XFAIYX智能记录仪，它非常可靠。然而，我希望它有更多的存储容量。""}}","(3.0, 1.0, 0.0, 1.0)"
"{""from"":""en"",""to"":""cn"",""trans_result"":{""src"":""They are going to be dead meat"",""dst"":""他们会死的。""}}","(5.0, 0.0, 0.0, 0.0)"
